id,tool_id,D,l_,L,z,morse_taper,execution,fi_,group,D_additional,d_,hole_type,created_at,updated_at
877,13048,47.6,20.0,56.0,4,,,90.0,Тип 2,,19.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
878,13049,48.0,20.0,56.0,4,,,90.0,Тип 2,,19.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
879,13050,49.6,20.0,56.0,4,,,90.0,Тип 2,,19.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
880,13051,50.0,20.0,56.0,4,,,90.0,Тип 2,,19.0,,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
881,13052,3.0,33.0,61.0,4,,,90.0,Тип 3,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
882,13053,3.3,36.0,65.0,4,,,90.0,Тип 3,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
883,13054,3.5,39.0,70.0,4,,,90.0,Тип 3,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
884,13055,3.8,43.0,75.0,4,,,90.0,Тип 3,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
885,13056,4.0,43.0,75.0,4,,,90.0,Тип 3,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
886,13057,4.3,47.0,80.0,4,,,90.0,Тип 3,,,Для сквозных отверстий,2025-06-22 16:05:49.614456+00:00,2025-06-22 16:05:49.614456+00:00
