id,tool_id,a_,D,l_,L,execution,fi_,mat_,group,D_1,d_,direction,B,h_,l_1_,m_,l_2_,r_,H,fi_1_,gamma_,lambda_,n_,bl_,cutter_type,h_1_,cutter_group,created_at,updated_at
65,64,,,,100.0,1.0,45.0,1,,,,Правые,12.0,,,,,0.2,16.0,45.0,10.0,0.0,9.0,10.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
66,65,,,,100.0,1.0,45.0,1,,,,Левые,12.0,,,,,0.2,16.0,45.0,10.0,0.0,9.0,10.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
67,66,,,,120.0,2.0,45.0,1,,,,Правые,12.0,,,,,0.2,20.0,45.0,10.0,0.0,7.0,10.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
68,67,,,,120.0,2.0,45.0,1,,,,Левые,12.0,,,,,0.2,20.0,45.0,10.0,0.0,7.0,10.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
69,68,,,,120.0,2.0,45.0,1,,,,Правые,16.0,,,,,0.2,20.0,45.0,10.0,0.0,9.0,12.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
70,69,,,,120.0,2.0,45.0,1,,,,Левые,16.0,,,,,0.2,20.0,45.0,10.0,0.0,9.0,12.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
71,70,,,,140.0,2.0,45.0,1,,,,Правые,16.0,,,,,0.2,25.0,45.0,10.0,0.0,9.0,12.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
72,71,,,,140.0,2.0,45.0,1,,,,Левые,16.0,,,,,0.2,25.0,45.0,10.0,0.0,9.0,12.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
73,72,,,,140.0,2.0,45.0,1,,,,Правые,20.0,,,,,0.2,25.0,45.0,10.0,0.0,12.0,16.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
74,73,,,,140.0,2.0,45.0,1,,,,Левые,20.0,,,,,0.2,25.0,45.0,10.0,0.0,12.0,16.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
75,74,,,,170.0,2.0,45.0,1,,,,Правые,20.0,,,,,0.2,32.0,45.0,10.0,0.0,12.0,16.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
76,75,,,,170.0,2.0,45.0,1,,,,Левые,20.0,,,,,0.2,32.0,45.0,10.0,0.0,12.0,16.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
77,76,,,,170.0,2.0,45.0,1,,,,Правые,25.0,,,,,0.2,32.0,45.0,10.0,0.0,14.0,20.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
78,77,,,,170.0,2.0,45.0,1,,,,Левые,25.0,,,,,0.2,32.0,45.0,10.0,0.0,14.0,20.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
79,78,,,,200.0,2.0,45.0,1,,,,Правые,25.0,,,,,0.2,40.0,45.0,10.0,0.0,14.0,20.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
80,79,,,,200.0,2.0,45.0,1,,,,Левые,25.0,,,,,0.2,40.0,45.0,10.0,0.0,14.0,20.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
81,80,,,,200.0,2.0,45.0,1,,,,Правые,32.0,,,,,0.2,40.0,45.0,10.0,0.0,18.0,25.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
82,81,,,,200.0,2.0,45.0,1,,,,Левые,32.0,,,,,0.2,40.0,45.0,10.0,0.0,18.0,25.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
83,82,,,,240.0,2.0,45.0,1,,,,Правые,32.0,,,,,0.2,50.0,45.0,10.0,0.0,18.0,25.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
84,83,,,,240.0,2.0,45.0,1,,,,Левые,32.0,,,,,0.2,50.0,45.0,10.0,0.0,18.0,25.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
85,84,,,,240.0,2.0,45.0,1,,,,Правые,40.0,,,,,0.2,50.0,45.0,10.0,0.0,22.0,32.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
86,85,,,,240.0,2.0,45.0,1,,,,Левые,40.0,,,,,0.2,50.0,45.0,10.0,0.0,22.0,32.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
87,86,,,,100.0,2.0,45.0,1,,,,Правые,10.0,,,,,0.2,16.0,45.0,0.0,0.0,6.0,8.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
88,87,,,,100.0,2.0,45.0,1,,,,Левые,10.0,,,,,0.2,16.0,45.0,0.0,0.0,6.0,8.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
89,88,,,,100.0,1.0,45.0,1,,,,Правые,12.0,,,,,0.2,16.0,45.0,0.0,0.0,9.0,10.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
90,89,,,,100.0,1.0,45.0,1,,,,Левые,12.0,,,,,0.2,16.0,45.0,0.0,0.0,9.0,10.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
91,90,,,,120.0,2.0,45.0,1,,,,Правые,12.0,,,,,0.2,20.0,45.0,0.0,0.0,7.0,10.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
92,91,,,,120.0,2.0,45.0,1,,,,Левые,12.0,,,,,0.2,20.0,45.0,0.0,0.0,7.0,10.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
93,92,,,,120.0,2.0,45.0,1,,,,Правые,16.0,,,,,0.2,20.0,45.0,0.0,0.0,9.0,12.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
94,93,,,,120.0,2.0,45.0,1,,,,Левые,16.0,,,,,0.2,20.0,45.0,0.0,0.0,9.0,12.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
95,94,,,,140.0,2.0,45.0,1,,,,Правые,16.0,,,,,0.2,25.0,45.0,0.0,0.0,9.0,12.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
96,95,,,,140.0,2.0,45.0,1,,,,Левые,16.0,,,,,0.2,25.0,45.0,0.0,0.0,9.0,12.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
97,96,,,,140.0,2.0,45.0,1,,,,Правые,20.0,,,,,0.2,25.0,45.0,0.0,0.0,12.0,16.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
98,97,,,,140.0,2.0,45.0,1,,,,Левые,20.0,,,,,0.2,25.0,45.0,0.0,0.0,12.0,16.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
99,98,,,,170.0,2.0,45.0,1,,,,Правые,20.0,,,,,0.2,32.0,45.0,0.0,0.0,12.0,16.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
100,99,,,,170.0,2.0,45.0,1,,,,Левые,20.0,,,,,0.2,32.0,45.0,0.0,0.0,12.0,16.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
101,100,,,,170.0,2.0,45.0,1,,,,Правые,25.0,,,,,0.2,32.0,45.0,0.0,0.0,14.0,20.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
102,101,,,,170.0,2.0,45.0,1,,,,Левые,25.0,,,,,0.2,32.0,45.0,0.0,0.0,14.0,20.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
103,102,,,,200.0,2.0,45.0,1,,,,Правые,25.0,,,,,0.2,40.0,45.0,0.0,0.0,14.0,20.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
104,103,,,,200.0,2.0,45.0,1,,,,Левые,25.0,,,,,0.2,40.0,45.0,0.0,0.0,14.0,20.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
105,104,,,,200.0,2.0,45.0,1,,,,Правые,32.0,,,,,0.2,40.0,45.0,0.0,0.0,18.0,25.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
106,105,,,,200.0,2.0,45.0,1,,,,Левые,32.0,,,,,0.2,40.0,45.0,0.0,0.0,18.0,25.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
107,106,,,,240.0,2.0,45.0,1,,,,Правые,32.0,,,,,0.2,50.0,45.0,0.0,0.0,18.0,25.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
108,107,,,,240.0,2.0,45.0,1,,,,Левые,32.0,,,,,0.2,50.0,45.0,0.0,0.0,18.0,25.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
109,108,,,,240.0,2.0,45.0,1,,,,Правые,40.0,,,,,0.2,50.0,45.0,0.0,0.0,22.0,32.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
110,109,,,,240.0,2.0,45.0,1,,,,Левые,40.0,,,,,0.2,50.0,45.0,0.0,0.0,22.0,32.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
111,110,,,,100.0,,90.0,0,Подрезной,,,Правый,10.0,,,4.0,,0.2,16.0,0.0,16.0,0.0,,10.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
112,111,,,,100.0,,90.0,0,Подрезной,,,Левый,10.0,,,4.0,,0.2,16.0,0.0,16.0,0.0,,10.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
113,112,,,,120.0,,90.0,0,Подрезной,,,Правый,12.0,,,5.0,,0.2,20.0,0.0,16.0,0.0,,12.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
114,113,,,,120.0,,90.0,0,Подрезной,,,Левый,12.0,,,5.0,,0.2,20.0,0.0,16.0,0.0,,12.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
115,114,,,,140.0,,90.0,0,Подрезной,,,Правый,16.0,,,6.0,,0.2,25.0,0.0,16.0,0.0,,16.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
116,115,,,,140.0,,90.0,0,Подрезной,,,Левый,16.0,,,6.0,,0.2,25.0,0.0,16.0,0.0,,16.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
117,116,,,,170.0,,90.0,0,Подрезной,,,Правый,20.0,,,8.0,,0.2,32.0,0.0,16.0,0.0,,20.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
118,117,,,,170.0,,90.0,0,Подрезной,,,Левый,20.0,,,8.0,,0.2,32.0,0.0,16.0,0.0,,20.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
119,118,,,,200.0,,90.0,0,Подрезной,,,Правый,25.0,,,10.0,,0.2,40.0,0.0,16.0,0.0,,25.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
120,119,,,,200.0,,90.0,0,Подрезной,,,Левый,25.0,,,10.0,,0.2,40.0,0.0,16.0,0.0,,25.0,Токарный,,,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
121,120,,,35.0,250.0,,45.0,0,Тип 1,,,,12.0,,,11.0,,1.5,20.0,45.0,17.447188423282203,0.0,,16.0,Долбежный,,Двухсторонний,2025-06-22 16:47:47.711482+00:00,2025-06-22 16:47:47.711482+00:00
