id,tool_id,D,d_1_,d_2_,l_,L,z,morse_taper,execution,fi_,mat_,group,D_1,d_,h_,l_1_,l_2_,r_,l_0_,reamer_type,fi_1_,gamma_,lambda_,reamer_taper,d_2_additional,created_at,updated_at
90,13334,5.0,,,44.0,87.0,6,,2,1.0,,,,5.0,,12.0,36.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
91,13335,5.2,,,44.0,87.0,6,,2,1.0,,,,5.2,,12.0,36.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
92,13336,6.0,,,47.0,93.0,6,,2,1.0,,,,6.0,,13.0,40.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
93,13337,6.3,,,47.0,93.0,6,,2,1.0,,,,6.3,,13.0,40.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
94,13338,6.5,,,47.0,93.0,6,,2,1.0,,,,6.5,,13.0,40.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
95,13339,7.0,,,54.0,107.0,6,,2,1.0,,,,7.0,,15.0,45.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
96,13340,7.5,,,54.0,107.0,6,,2,1.0,,,,7.5,,15.0,45.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
97,13341,8.0,,,58.0,115.0,6,,2,1.0,,,,8.0,,15.0,45.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
98,13342,8.5,,,58.0,115.0,6,,2,1.0,,,,8.5,,15.0,45.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
99,13343,9.0,,,62.0,124.0,6,,2,1.0,,,,9.0,,16.0,50.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
100,13344,9.5,,,62.0,124.0,6,,2,1.0,,,,9.5,,16.0,50.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
101,13345,10.0,,,66.0,133.0,6,,2,1.0,,,,10.0,,16.0,50.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
102,13346,10.5,,,66.0,133.0,8,,2,1.0,,,,10.5,,16.0,50.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
103,13347,11.0,,,71.0,142.0,8,,2,1.0,,,,11.0,,18.0,55.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
104,13348,11.5,,,71.0,142.0,8,,2,1.0,,,,11.5,,18.0,55.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
105,13349,12.0,,,76.0,152.0,8,,2,1.0,,,,12.0,,18.0,60.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
106,13350,13.0,,,76.0,152.0,8,,2,1.0,,,,13.0,,18.0,60.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
107,13351,14.0,,,81.0,163.0,8,,2,1.0,,,,14.0,,21.0,65.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
108,13352,15.0,,,81.0,163.0,8,,2,1.0,,,,15.0,,21.0,65.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
109,13353,16.0,,,87.0,175.0,8,,2,1.0,,,,16.0,,21.0,70.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
110,13354,17.0,,,87.0,175.0,8,,2,1.0,,,,17.0,,23.0,70.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
111,13355,18.0,,,93.0,188.0,8,,2,1.0,,,,18.0,,23.0,80.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
112,13356,19.0,,,93.0,188.0,8,,2,1.0,,,,19.0,,23.0,80.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
113,13357,20.0,,,100.0,201.0,8,,2,1.0,,,,20.0,,26.0,80.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
114,13358,21.0,,,100.0,201.0,8,,2,1.0,,,,21.0,,26.0,80.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
115,13359,22.0,,,107.0,215.0,8,,2,1.0,,,,22.0,,26.0,90.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
116,13360,23.0,,,107.0,215.0,8,,2,1.0,,,,23.0,,28.0,90.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
117,13361,24.0,,,115.0,231.0,8,,2,1.0,,,,24.0,,28.0,90.0,0.2,,Цилиндрическая,0.0,0.0,0.0,,,2025-06-22 16:29:29.580551+00:00,2025-06-22 16:29:29.580551+00:00
