index,Обозначение,a_,D,d_1_,d_2_,l_,L,f_,q_,z,Конус_Морзе,Исполнение,fi_,type_cutter_,mat_,type_of_cutting_part_,Группа,Тип_инструмента,Стандарт,D_1,f_доп._,D_доп.,P,l_номин._,d_,d_доп._,d_1_доп._,Направление,B,c_,c_доп._,h_,R,R_доп.,m_n0_,L_доп.,K,K_доп.,Точность,D_2,l_1_,f_откл._,g_,g_откл._,zxd_xD,z_0_,Серия,Точность_паза,m_0_,Подгруппа,h_доп._,m_,Метрический_хвостовик,b_,S,t_,d_0_,l_доп._,omega_,l_2_,r_,r_доп._,B_доп.,H,omega_u_,D_откл.,c_общего_назначения_,c_для_шпоночных_пазов_,Конус_метрический,alpha_
193,2214-0501,,50.0,40.0,,20.0,49.0,,,6.0,,,90.0,"Торцовая, Цилиндрическая",1,0.0,,Фреза,ГОСТ 28719-90,,,"±0,25",,,22,H7,не менее,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,,
194,2214-0501,,100.0,,,,44.0,,,4.0,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 16223-81,,,,,,32.0,,,Праворежущая,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,2214-0502,,100.0,,,,44.0,,,4.0,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 16223-81,,,,,,32.0,,,Леворежущие,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,2214-0503,,80.0,58.0,,28.0,60.0,,,6.0,,,90.0,"Торцовая, Цилиндрическая",1,0.0,,Фреза,ГОСТ 28719-90,,,"±0,25",,,32,H7,не менее,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,
197,2214-0503,,125.0,,,,46.0,,,6.0,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 16223-81,,,,,,40.0,,,Праворежущая,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,2214-0504,,125.0,,,,46.0,,,6.0,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 16223-81,,,,,,40.0,,,Леворежущие,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,2214-0505,,100.0,70.0,,30.0,70.0,,,8.0,,,90.0,"Торцовая, Цилиндрическая",1,0.0,,Фреза,ГОСТ 28719-90,,,"±0,25",,,40,H7,не менее,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,
200,2214-0505,,160.0,,,,48.0,,,6.0,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 16223-81,,,,,,50.0,,,Праворежущая,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2214-0506,,160.0,,,,48.0,,,6.0,,,90.0,Торцовая,1,0.0,,Фреза,ГОСТ 16223-81,,,,,,50.0,,,Леворежущие,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,2214-0506,,100.0,70.0,,30.0,70.0,,,12.0,,,90.0,"Торцовая, Цилиндрическая",1,0.0,,Фреза,ГОСТ 28719-90,,,"±0,25",,,40,H7,не менее,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,
