index,Обозначение,a_,D,d_1_,d_2_,l_,L,f_,q_,z,Конус_Морзе,Исполнение,fi_,type_cutter_,mat_,type_of_cutting_part_,Группа,Тип_инструмента,Стандарт,D_1,f_доп._,D_доп.,P,l_номин._,d_,d_доп._,d_1_доп._,Направление,B,c_,c_доп._,h_,R,R_доп.,m_n0_,L_доп.,K,K_доп.,Точность,D_2,l_1_,f_откл._,g_,g_откл._,zxd_xD,z_0_,Серия,Точность_паза,m_0_,Подгруппа,h_доп._,m_,Метрический_хвостовик,b_,S,t_,d_0_,l_доп._,omega_,l_2_,r_,r_доп._,B_доп.,H,omega_u_,D_откл.,c_общего_назначения_,c_для_шпоночных_пазов_,Конус_метрический,alpha_
15026,2672-0446,,50.0,32,,6.0,30.0,,,12.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,2.5,32.0,22.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15027,2672-0447,,50.0,32,,6.0,30.0,,,12.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,3.0,32.0,22.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15028,2672-0448,,50.0,32,,6.0,31.5,,,12.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,3.5,32.0,22.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15029,2672-0449,,50.0,32,,6.0,32.0,,,12.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,4.0,32.0,22.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15030,2672-0451,,50.0,32,,6.0,39.0,,,12.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.5,40.0,22.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15031,2672-0452,,50.0,32,,6.0,38.5,,,12.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.75,40.0,22.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15032,2672-0453,,50.0,32,,6.0,40.0,,,12.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,2.0,40.0,22.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15033,2672-0454,,50.0,32,,6.0,40.0,,,12.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,2.5,40.0,22.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15034,2672-0455,,50.0,32,,6.0,39.0,,,12.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,3.0,40.0,22.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15035,2672-0456,,50.0,32,,6.0,38.5,,,12.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,3.5,40.0,22.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15036,2672-0457,,50.0,32,,6.0,40.0,,,12.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,4.0,40.0,22.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15037,2672-0458,,50.0,32,,6.0,49.5,,,12.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.5,50.0,22.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15038,2672-0459,,50.0,32,,6.0,49.0,,,12.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.75,50.0,22.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15039,2672-0461,,50.0,32,,6.0,50.0,,,12.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,2.0,50.0,22.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15040,2672-0462,,50.0,32,,6.0,50.0,,,12.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,2.5,50.0,22.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15041,2672-0463,,50.0,32,,6.0,48.0,,,12.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,3.0,50.0,22.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15042,2672-0464,,50.0,32,,6.0,49.0,,,12.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,3.5,50.0,22.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15043,2672-0465,,50.0,32,,6.0,48.0,,,12.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,4.0,50.0,22.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15044,2672-0466,,63.0,36,,6.0,39.0,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.5,40.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15045,2672-0467,,63.0,36,,6.0,38.5,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.75,40.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15046,2672-0468,,63.0,36,,6.0,40.0,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,2.0,40.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15047,2672-0469,,63.0,36,,6.0,40.0,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,2.5,40.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15048,2672-0471,,63.0,36,,6.0,39.0,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,3.0,40.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15049,2672-0472,,63.0,36,,6.0,38.5,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,3.5,40.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15050,2672-0473,,63.0,36,,6.0,40.0,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,4.0,40.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15051,2672-0474,,63.0,36,,6.0,38.5,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,4.5,40.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15052,2672-0475,,63.0,36,,6.0,40.0,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,5.0,40.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15053,2672-0476,,63.0,36,,6.0,49.5,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.5,50.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15054,2672-0477,,63.0,36,,6.0,49.0,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.75,50.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15055,2672-0478,,63.0,36,,6.0,50.0,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,2.0,50.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15056,2672-0479,,63.0,36,,6.0,50.0,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,2.5,50.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15057,2672-0481,,63.0,36,,6.0,48.0,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,3.0,50.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15058,2672-0482,,63.0,36,,6.0,49.0,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,3.5,50.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15059,2672-0483,,63.0,36,,6.0,48.0,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,4.0,50.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15060,2672-0484,,63.0,36,,6.0,49.5,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,4.5,50.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15061,2672-0485,,63.0,36,,6.0,50.0,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,5.0,50.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15062,2672-0486,,63.0,36,,6.0,63.0,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.5,63.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15063,2672-0487,,63.0,36,,6.0,63.0,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.75,63.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15064,2672-0488,,63.0,36,,6.0,62.0,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,2.0,63.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15065,2672-0489,,63.0,36,,6.0,62.5,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,2.5,63.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15066,2672-0491,,63.0,36,,6.0,63.0,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,3.0,63.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15067,2672-0492,,63.0,36,,6.0,63.0,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,3.5,63.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15068,2672-0493,,63.0,36,,6.0,60.0,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,4.0,63.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15069,2672-0494,,63.0,36,,6.0,63.0,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,4.5,63.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15070,2672-0495,,63.0,36,,6.0,60.0,,,14.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,5.0,63.0,27.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15071,2672-0496,,80.0,52,,10.0,49.5,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.5,50.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15072,2672-0497,,80.0,52,,10.0,49.0,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.75,50.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15073,2672-0498,,80.0,52,,10.0,50.0,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,2.0,50.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15074,2672-0499,,80.0,52,,10.0,50.0,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,2.5,50.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15075,2672-0501,,80.0,52,,10.0,48.0,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,3.0,50.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15076,2672-0502,,80.0,52,,10.0,49.0,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,3.5,50.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15077,2672-0503,,80.0,52,,10.0,48.0,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,4.0,50.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15078,2672-0504,,80.0,52,,10.0,49.5,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,4.5,50.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15079,2672-0505,,80.0,52,,10.0,50.0,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,5.0,50.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15080,2672-0506,,80.0,52,,10.0,63.0,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.5,63.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15081,2672-0507,,80.0,52,,10.0,63.0,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.75,63.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15082,2672-0508,,80.0,52,,10.0,62.0,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,2.0,63.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15083,2672-0509,,80.0,52,,10.0,62.5,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,2.5,63.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15084,2672-0511,,80.0,52,,10.0,63.0,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,3.0,63.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15085,2672-0512,,80.0,52,,10.0,63.0,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,3.5,63.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15086,2672-0513,,80.0,52,,10.0,60.0,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,4.0,63.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15087,2672-0514,,80.0,52,,10.0,63.0,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,4.5,63.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15088,2672-0515,,80.0,52,,10.0,60.0,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,5.0,63.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15089,2672-0516,,80.0,52,,10.0,79.5,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.5,80.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15090,2672-0517,,80.0,52,,10.0,78.75,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.75,80.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15091,2672-0518,,80.0,52,,10.0,80.0,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,2.0,80.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15092,2672-0519,,80.0,52,,10.0,80.0,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,2.5,80.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15093,2672-0521,,80.0,52,,10.0,78.0,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,3.0,80.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15094,2672-0522,,80.0,52,,10.0,77.0,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,3.5,80.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15095,2672-0523,,80.0,52,,10.0,80.0,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,4.0,80.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15096,2672-0524,,80.0,52,,10.0,76.5,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,4.5,80.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15097,2672-0525,,80.0,52,,10.0,80.0,,,16.0,,2.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,5.0,80.0,40.0,H7,js12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15098,2672-0531,,32.0,20,,3.0,25.0,,,8.0,,3.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.0,25.0,13.0,H7,js12,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15099,2672-0532,,32.0,20,,3.0,25.0,,,8.0,,3.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.0,25.0,13.0,H7,js12,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15100,2672-0533,,32.0,20,,3.0,25.0,,,8.0,,3.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.25,25.0,13.0,H7,js12,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15101,2672-0534,,32.0,20,,3.0,25.0,,,8.0,,3.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.25,25.0,13.0,H7,js12,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15102,2672-0535,,32.0,20,,3.0,24.0,,,8.0,,3.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.5,25.0,13.0,H7,js12,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15103,2672-0536,,32.0,20,,3.0,24.0,,,8.0,,3.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.5,25.0,13.0,H7,js12,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15104,2672-0537,,36.0,20,,4.0,25.0,,,10.0,,3.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.0,25.0,16.0,H7,js12,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15105,2672-0538,,36.0,20,,4.0,25.0,,,10.0,,3.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.0,25.0,16.0,H7,js12,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15106,2672-0541,,36.0,20,,4.0,25.0,,,10.0,,3.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.25,25.0,16.0,H7,js12,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15107,2672-0542,,36.0,20,,4.0,25.0,,,10.0,,3.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.25,25.0,16.0,H7,js12,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15108,2672-0543,,36.0,20,,4.0,24.0,,,10.0,,3.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.5,25.0,16.0,H7,js12,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15109,2672-0544,,36.0,20,,4.0,24.0,,,10.0,,3.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.5,25.0,16.0,H7,js12,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15110,2672-0545,,36.0,20,,4.0,24.5,,,10.0,,3.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.75,25.0,16.0,H7,js12,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15111,2672-0546,,36.0,20,,4.0,24.5,,,10.0,,3.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.75,25.0,16.0,H7,js12,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15112,2672-0547,,36.0,20,,4.0,24.0,,,10.0,,3.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,2.0,25.0,16.0,H7,js12,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15113,2672-0548,,36.0,20,,4.0,24.0,,,10.0,,3.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,2.0,25.0,16.0,H7,js12,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15114,2672-0551,,36.0,20,,4.0,32.0,,,10.0,,3.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.0,32.0,16.0,H7,js12,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15115,2672-0552,,36.0,20,,4.0,32.0,,,10.0,,3.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.0,32.0,16.0,H7,js12,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15116,2672-0553,,36.0,20,,4.0,31.25,,,10.0,,3.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.25,32.0,16.0,H7,js12,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15117,2672-0554,,36.0,20,,4.0,31.25,,,10.0,,3.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.25,32.0,16.0,H7,js12,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15118,2672-0555,,36.0,20,,4.0,31.5,,,10.0,,3.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.5,32.0,16.0,H7,js12,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15119,2672-0556,,36.0,20,,4.0,31.5,,,10.0,,3.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.5,32.0,16.0,H7,js12,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15120,2672-0557,,36.0,20,,4.0,31.5,,,10.0,,3.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.75,32.0,16.0,H7,js12,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15121,2672-0558,,36.0,20,,4.0,31.5,,,10.0,,3.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,1.75,32.0,16.0,H7,js12,Леворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15122,2672-0561,,36.0,20,,4.0,32.0,,,10.0,,3.0,90.0,Резьбовая,0.1,1.0,,Фреза,ГОСТ 1336-77,,,js16,2.0,32.0,16.0,H7,js12,Праворежущие,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
