index,Обозначение,D,d_1_,d_2_,l_,L,z,Конус_Морзе,Исполнение,fi_,mat_,Группа,Тип_инструмента,Стандарт,D_1,d_,h_,l_1_,l_2_,r_,l_0_,Тип_развертки,fi_1_,gamma_,lambda_,Конусность_развертки,d_2_доп._
13637,2363-3821,24.0,,,19.0,210.0,6.0,3.0,3,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13638,2363-3822,25.0,,,19.0,220.0,6.0,3.0,3,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13639,2363-3823,26.0,,,22.0,220.0,6.0,3.0,3,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13640,2363-3824,27.0,,,22.0,220.0,6.0,3.0,3,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13641,2363-3825,28.0,,,22.0,240.0,6.0,3.0,3,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13642,2363-3826,30.0,,,22.0,240.0,6.0,3.0,3,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13643,2363-3827,32.0,,,22.0,240.0,6.0,3.0,3,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13644,2363-3828,11.0,,,16.0,140.0,4.0,1.0,4,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13645,2363-3829,12.0,,,16.0,150.0,4.0,1.0,4,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13646,2363-3831,13.0,,,16.0,150.0,4.0,1.0,4,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
