index,Обозначение,D,d_1_,d_2_,l_,L,z,Конус_Морзе,Исполнение,fi_,mat_,Группа,Тип_инструмента,Стандарт,D_1,d_,h_,l_1_,l_2_,r_,l_0_,Тип_развертки,fi_1_,gamma_,lambda_,Конусность_развертки,d_2_доп._
13482,2363-2225,12.0,,,16.0,150.0,4.0,1.0,2,15.0,"8,9,10,18",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13483,2363-2226,13.0,,,16.0,150.0,4.0,1.0,2,15.0,"8,9,10,21",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13484,2363-2227,14.0,,,16.0,160.0,4.0,1.0,2,15.0,"8,9,10,24",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13485,2363-2228,15.0,,,16.0,160.0,4.0,1.0,2,15.0,"8,9,10,27",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13486,2363-2241,26.0,,,22.0,220.0,6.0,3.0,2,15.0,"8,9,10,60",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13487,2363-2242,27.0,,,22.0,220.0,6.0,3.0,2,15.0,"8,9,10,63",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13488,2363-2243,28.0,,,22.0,240.0,6.0,3.0,2,15.0,"8,9,10,66",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13489,2363-2371,10.0,,,16.0,140.0,4.0,1.0,1,15.0,"8,9,10,12",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13490,2363-2373,11.0,,,16.0,140.0,4.0,1.0,1,15.0,"8,9,10,15",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13491,2363-2375,12.0,,,16.0,150.0,4.0,1.0,1,15.0,"8,9,10,18",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13492,2363-2376,13.0,,,16.0,150.0,4.0,1.0,1,15.0,"8,9,10,21",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13493,2363-2377,14.0,,,16.0,160.0,4.0,1.0,1,15.0,"8,9,10,24",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13494,2363-2378,15.0,,,16.0,160.0,4.0,1.0,1,15.0,"8,9,10,27",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13495,2363-2391,26.0,,,22.0,220.0,6.0,3.0,1,15.0,"8,9,10,60",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13496,2363-2392,27.0,,,22.0,220.0,6.0,3.0,1,15.0,"8,9,10,63",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13497,2363-2393,28.0,,,22.0,240.0,6.0,3.0,1,15.0,"8,9,10,66",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13498,2363-3152,10.0,,,16.0,140.0,4.0,1.0,1,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13499,2363-3152,10.0,,,16.0,140.0,4.0,1.0,3,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13500,2363-3153,10.0,,,16.0,140.0,4.0,1.0,4,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13501,2363-3154,10.0,,,16.0,140.0,4.0,1.0,3,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13502,2363-3155,10.0,,,16.0,140.0,4.0,1.0,1,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13503,2363-3156,10.0,,,16.0,140.0,4.0,1.0,4,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13504,2363-3157,10.0,,,16.0,140.0,4.0,1.0,3,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13505,2363-3158,10.0,,,16.0,140.0,4.0,1.0,1,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13506,2363-3159,10.0,,,16.0,140.0,4.0,1.0,4,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13507,2363-3669,11.0,,,16.0,140.0,4.0,1.0,1,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13508,2363-3671,12.0,,,16.0,150.0,4.0,1.0,1,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13509,2363-3672,13.0,,,16.0,150.0,4.0,1.0,1,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13510,2363-3673,14.0,,,16.0,160.0,4.0,1.0,1,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13511,2363-3674,15.0,,,16.0,160.0,4.0,1.0,1,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13512,2363-3675,16.0,,,19.0,170.0,6.0,2.0,1,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13513,2363-3676,17.0,,,19.0,170.0,6.0,2.0,1,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13514,2363-3677,18.0,,,19.0,180.0,6.0,2.0,1,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13515,2363-3678,19.0,,,19.0,190.0,6.0,2.0,1,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13516,2363-3679,20.0,,,19.0,190.0,6.0,2.0,1,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13517,2363-3681,21.0,,,19.0,190.0,6.0,2.0,1,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13518,2363-3682,22.0,,,19.0,200.0,6.0,2.0,1,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13519,2363-3683,23.0,,,19.0,200.0,6.0,2.0,1,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13520,2363-3684,24.0,,,19.0,210.0,6.0,3.0,1,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13521,2363-3685,25.0,,,19.0,220.0,6.0,3.0,1,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13522,2363-3686,26.0,,,22.0,220.0,6.0,3.0,1,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13523,2363-3687,27.0,,,22.0,220.0,6.0,3.0,1,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13524,2363-3688,28.0,,,22.0,240.0,6.0,3.0,1,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13525,2363-3692,11.0,,,16.0,140.0,4.0,1.0,1,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13526,2363-3693,12.0,,,16.0,150.0,4.0,1.0,1,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13527,2363-3694,13.0,,,16.0,150.0,4.0,1.0,1,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13528,2363-3695,14.0,,,16.0,160.0,4.0,1.0,1,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13529,2363-3696,15.0,,,16.0,160.0,4.0,1.0,1,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13530,2363-3697,16.0,,,19.0,170.0,6.0,2.0,1,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13531,2363-3698,17.0,,,19.0,170.0,6.0,2.0,1,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13532,2363-3699,18.0,,,19.0,180.0,6.0,2.0,1,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13533,2363-3701,19.0,,,19.0,190.0,6.0,2.0,1,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13534,2363-3702,20.0,,,19.0,190.0,6.0,2.0,1,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13535,2363-3703,21.0,,,19.0,190.0,6.0,2.0,1,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13536,2363-3704,22.0,,,19.0,200.0,6.0,2.0,1,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13537,2363-3705,23.0,,,19.0,200.0,6.0,2.0,1,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13538,2363-3706,24.0,,,19.0,210.0,6.0,3.0,1,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13539,2363-3707,25.0,,,19.0,220.0,6.0,3.0,1,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13540,2363-3708,26.0,,,22.0,220.0,6.0,3.0,1,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13541,2363-3709,27.0,,,22.0,220.0,6.0,3.0,1,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13542,2363-3711,28.0,,,22.0,240.0,6.0,3.0,1,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13543,2363-3714,11.0,,,16.0,140.0,4.0,1.0,1,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13544,2363-3715,12.0,,,16.0,150.0,4.0,1.0,1,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13545,2363-3716,13.0,,,16.0,150.0,4.0,1.0,1,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13546,2363-3717,14.0,,,16.0,160.0,4.0,1.0,1,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13547,2363-3718,15.0,,,16.0,160.0,4.0,1.0,1,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13548,2363-3719,16.0,,,19.0,170.0,6.0,2.0,1,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13549,2363-3721,17.0,,,19.0,170.0,6.0,2.0,1,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13550,2363-3722,18.0,,,19.0,180.0,6.0,2.0,1,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13551,2363-3723,19.0,,,19.0,190.0,6.0,2.0,1,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13552,2363-3724,20.0,,,19.0,190.0,6.0,2.0,1,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13553,2363-3725,21.0,,,19.0,190.0,6.0,2.0,1,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13554,2363-3726,22.0,,,19.0,200.0,6.0,2.0,1,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13555,2363-3727,23.0,,,19.0,200.0,6.0,2.0,1,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13556,2363-3728,24.0,,,19.0,210.0,6.0,3.0,1,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13557,2363-3729,25.0,,,19.0,220.0,6.0,3.0,1,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13558,2363-3731,26.0,,,22.0,220.0,6.0,3.0,1,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13559,2363-3732,27.0,,,22.0,220.0,6.0,3.0,1,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13560,2363-3733,28.0,,,22.0,240.0,6.0,3.0,1,45.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13561,2363-3736,23.0,,,19.0,200.0,6.0,2.0,1,5.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13562,2363-3737,23.0,,,19.0,200.0,6.0,2.0,1,15.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13563,2363-3738,23.0,,,19.0,200.0,6.0,2.0,1,45.0,"0,1,2,3,5,6,7",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13564,2363-3739,16.0,,,19.0,170.0,6.0,2.0,2,15.0,"8,9,10,30",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13565,2363-3741,17.0,,,19.0,170.0,6.0,2.0,2,15.0,"8,9,10,33",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13566,2363-3742,18.0,,,19.0,180.0,6.0,2.0,2,15.0,"8,9,10,36",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13567,2363-3743,19.0,,,19.0,190.0,6.0,2.0,2,15.0,"8,9,10,39",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13568,2363-3744,20.0,,,19.0,190.0,6.0,2.0,2,15.0,"8,9,10,42",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13569,2363-3745,21.0,,,19.0,190.0,6.0,2.0,2,15.0,"8,9,10,45",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13570,2363-3746,22.0,,,19.0,200.0,6.0,2.0,2,15.0,"8,9,10,48",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13571,2363-3747,23.0,,,19.0,200.0,6.0,2.0,2,15.0,"8,9,10,51",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13572,2363-3748,24.0,,,19.0,210.0,6.0,3.0,2,15.0,"8,9,10,54",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13573,2363-3749,25.0,,,19.0,220.0,6.0,3.0,2,15.0,"8,9,10,57",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13574,2363-3751,16.0,,,19.0,170.0,6.0,2.0,1,15.0,"8,9,10,30",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13575,2363-3752,17.0,,,19.0,170.0,6.0,2.0,1,15.0,"8,9,10,33",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13576,2363-3753,18.0,,,19.0,180.0,6.0,2.0,1,15.0,"8,9,10,36",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13577,2363-3754,19.0,,,19.0,190.0,6.0,2.0,1,15.0,"8,9,10,39",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13578,2363-3755,20.0,,,19.0,190.0,6.0,2.0,1,15.0,"8,9,10,42",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13579,2363-3756,21.0,,,19.0,190.0,6.0,2.0,1,15.0,"8,9,10,45",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13580,2363-3757,22.0,,,19.0,200.0,6.0,2.0,1,15.0,"8,9,10,48",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13581,2363-3758,23.0,,,19.0,200.0,6.0,2.0,1,15.0,"8,9,10,51",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13582,2363-3759,24.0,,,19.0,210.0,6.0,3.0,1,15.0,"8,9,10,54",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13583,2363-3761,25.0,,,19.0,220.0,6.0,3.0,1,15.0,"8,9,10,57",Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13584,2363-3762,11.0,,,16.0,140.0,4.0,1.0,3,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13585,2363-3763,12.0,,,16.0,150.0,4.0,1.0,3,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13586,2363-3764,13.0,,,16.0,150.0,4.0,1.0,3,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13587,2363-3765,14.0,,,16.0,160.0,4.0,1.0,3,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13588,2363-3766,15.0,,,16.0,160.0,4.0,1.0,3,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13589,2363-3767,16.0,,,19.0,170.0,6.0,2.0,3,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13590,2363-3768,17.0,,,19.0,170.0,6.0,2.0,3,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13591,2363-3769,18.0,,,19.0,180.0,6.0,2.0,3,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13592,2363-3771,19.0,,,19.0,190.0,6.0,2.0,3,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13593,2363-3772,20.0,,,19.0,190.0,6.0,2.0,3,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13594,2363-3773,21.0,,,19.0,190.0,6.0,2.0,3,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13595,2363-3774,22.0,,,19.0,200.0,6.0,2.0,3,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13596,2363-3775,23.0,,,19.0,200.0,6.0,2.0,3,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13597,2363-3776,24.0,,,19.0,210.0,6.0,3.0,3,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13598,2363-3777,25.0,,,19.0,220.0,6.0,3.0,3,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13599,2363-3778,26.0,,,22.0,220.0,6.0,3.0,3,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13600,2363-3779,27.0,,,22.0,220.0,6.0,3.0,3,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13601,2363-3781,28.0,,,22.0,240.0,6.0,3.0,3,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13602,2363-3782,30.0,,,22.0,240.0,6.0,3.0,3,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13603,2363-3783,32.0,,,22.0,240.0,6.0,3.0,3,5.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13604,2363-3784,11.0,,,16.0,140.0,4.0,1.0,3,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13605,2363-3785,12.0,,,16.0,150.0,4.0,1.0,3,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13606,2363-3786,13.0,,,16.0,150.0,4.0,1.0,3,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13607,2363-3787,14.0,,,16.0,160.0,4.0,1.0,3,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13608,2363-3788,15.0,,,16.0,160.0,4.0,1.0,3,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13609,2363-3789,16.0,,,19.0,170.0,6.0,2.0,3,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13610,2363-3791,17.0,,,19.0,170.0,6.0,2.0,3,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13611,2363-3792,18.0,,,19.0,180.0,6.0,2.0,3,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13612,2363-3793,19.0,,,19.0,190.0,6.0,2.0,3,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13613,2363-3794,20.0,,,19.0,190.0,6.0,2.0,3,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
13614,2363-3795,21.0,,,19.0,190.0,6.0,2.0,3,15.0,4,Тип 1,Развертка,ГОСТ 28321-89,,,,,,0.2,,Цилиндрическая,0.0,0.0,0.0,,
