index,Обозначение,a_,D,l_,L,Исполнение,fi_,mat_,Группа,Тип_инструмента,Стандарт,D_1,d_,Направление,B,h_,l_1_,m_,l_2_,r_,H,fi_1_,gamma_,lambda_,n_,bl_,Тип_резца,h_1_,Группа_резца
66,2100-0405,,,,120.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,12.0,,,,,0.2,20.0,45.0,10.0,0.0,7.0,10.0,Токарный,,
67,2100-0406,,,,120.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,12.0,,,,,0.2,20.0,45.0,10.0,0.0,7.0,10.0,Токарный,,
68,2100-0407,,,,120.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,16.0,,,,,0.2,20.0,45.0,10.0,0.0,9.0,12.0,Токарный,,
69,2100-0408,,,,120.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,16.0,,,,,0.2,20.0,45.0,10.0,0.0,9.0,12.0,Токарный,,
70,2100-0409,,,,140.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,16.0,,,,,0.2,25.0,45.0,10.0,0.0,9.0,12.0,Токарный,,
71,2100-0410,,,,140.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,16.0,,,,,0.2,25.0,45.0,10.0,0.0,9.0,12.0,Токарный,,
72,2100-0411,,,,140.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,20.0,,,,,0.2,25.0,45.0,10.0,0.0,12.0,16.0,Токарный,,
73,2100-0412,,,,140.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,20.0,,,,,0.2,25.0,45.0,10.0,0.0,12.0,16.0,Токарный,,
74,2100-0413,,,,170.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,20.0,,,,,0.2,32.0,45.0,10.0,0.0,12.0,16.0,Токарный,,
75,2100-0414,,,,170.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,20.0,,,,,0.2,32.0,45.0,10.0,0.0,12.0,16.0,Токарный,,
76,2100-0415,,,,170.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,25.0,,,,,0.2,32.0,45.0,10.0,0.0,14.0,20.0,Токарный,,
77,2100-0416,,,,170.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,25.0,,,,,0.2,32.0,45.0,10.0,0.0,14.0,20.0,Токарный,,
78,2100-0417,,,,200.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,25.0,,,,,0.2,40.0,45.0,10.0,0.0,14.0,20.0,Токарный,,
79,2100-0418,,,,200.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,25.0,,,,,0.2,40.0,45.0,10.0,0.0,14.0,20.0,Токарный,,
80,2100-0419,,,,200.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,32.0,,,,,0.2,40.0,45.0,10.0,0.0,18.0,25.0,Токарный,,
81,2100-0420,,,,200.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,32.0,,,,,0.2,40.0,45.0,10.0,0.0,18.0,25.0,Токарный,,
82,2100-0421,,,,240.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Правые,32.0,,,,,0.2,50.0,45.0,10.0,0.0,18.0,25.0,Токарный,,
83,2100-0422,,,,240.0,2.0,45.0,1,,Резец,ГОСТ 18878-73,,,Левые,32.0,,,,,0.2,50.0,45.0,10.0,0.0,18.0,25.0,Токарный,,
