index,Обозначение,a_,D,d_1_,d_2_,l_,L,f_,z,Конус_Морзе,Исполнение,fi_,Группа,Тип_инструмента,Стандарт,D_1,P,d_,Направление,B,K,Точность,D_2,l_1_,Серия,omega_,r_,D_ном.,D_1_доп.,D_2_доп.,L_1,L_2,L_3,L_3_доп.,Разряд,Тип_хвостовика,l_откл._,L_откл.,r_откл._,l_0_,k_,K_откл.,a_откл._
3273,2300-0073,,10.7,,,128.0,195.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3274,2300-0074,,11.0,,,128.0,195.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3275,2300-0075,,11.2,,,128.0,195.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3276,2300-0076,,11.5,,,128.0,195.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3277,2300-0077,,11.7,,,128.0,195.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3278,2300-0078,,11.9,,,134.0,205.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3279,2300-0079,,12.0,,,134.0,205.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3280,2300-0080,,12.5,,,134.0,205.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3281,2300-0081,,12.7,,,134.0,205.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3282,2300-0082,,13.0,,,134.0,205.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3283,2300-0083,,13.2,,,134.0,205.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3284,2300-0084,,13.5,,,140.0,214.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3285,2300-0085,,13.7,,,140.0,214.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3286,2300-0086,,14.0,,,140.0,214.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3287,2300-0087,,14.25,,,144.0,220.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3288,2300-0088,,14.5,,,144.0,220.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3289,2300-0090,,15.0,,,144.0,220.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3290,2300-0091,,15.25,,,149.0,227.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3291,2300-0092,,15.4,,,149.0,227.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3292,2300-0093,,15.5,,,149.0,227.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3293,2300-0094,,16.0,,,149.0,227.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3294,2300-0095,,16.25,,,154.0,235.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3295,2300-0096,,16.5,,,154.0,235.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3296,2300-0097,,17.0,,,154.0,235.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3297,2300-0098,,17.25,,,158.0,241.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3298,2300-0099,,17.4,,,158.0,241.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3299,2300-0101,,18.0,,,158.0,241.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3300,2300-0102,,18.25,,,162.0,247.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3301,2300-0103,,18.5,,,162.0,247.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3302,2300-0104,,18.75,,,162.0,247.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3303,2300-0105,,19.0,,,162.0,247.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3304,2300-0106,,19.25,,,166.0,254.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3305,2300-0107,,19.4,,,166.0,254.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3306,2300-0108,,19.5,,,166.0,254.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3307,2300-0109,,20.0,,,166.0,254.0,,2.0,,1,59.0,,Сверло,ГОСТ 886-77,,,,,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3308,2300-0112,,0.3,,,3.0,19.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3309,2300-0113,,0.35,,,4.0,19.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3310,2300-0114,,0.4,,,5.0,20.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3311,2300-0115,,0.45,,,5.0,20.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3312,2300-0116,,0.5,,,6.0,22.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3313,2300-0117,,0.55,,,7.0,24.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3314,2300-0118,,0.6,,,7.0,24.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3315,2300-0119,,0.65,,,8.0,26.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3316,2300-0120,,0.7,,,9.0,28.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
3317,2300-0121,,0.75,,,9.0,28.0,,2.0,,1,59.0,,Сверло,ГОСТ 10902-77,,,,Правые,,,"B, B1",,,,,,,,,,,,,,,,,,,,,
