index,Обозначение,D,l_,L,z,Конус_Морзе,Исполнение,fi_,Группа,Тип_инструмента,Стандарт,D_доп.,d_,Тип_отверстия
13044,2320-2673,45.6,20.0,56.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",19.0,
13045,2320-2674,46.0,20.0,56.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",19.0,
13046,2320-2675,46.6,20.0,56.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",19.0,
13047,2320-2676,47.0,20.0,56.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",19.0,
13048,2320-2677,47.6,20.0,56.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",19.0,
13049,2320-2678,48.0,20.0,56.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",19.0,
13050,2320-2679,49.6,20.0,56.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",19.0,
13051,2320-2681,50.0,20.0,56.0,4.0,,,90.0,Тип 2,Зенкер,ГОСТ 12489-71,"h8, u8",19.0,
13052,2320-2701,3.0,33.0,61.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13053,2320-2702,3.3,36.0,65.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13054,2320-2703,3.5,39.0,70.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13055,2320-2704,3.8,43.0,75.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13056,2320-2705,4.0,43.0,75.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13057,2320-2706,4.3,47.0,80.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13058,2320-2707,4.5,47.0,80.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13059,2320-2708,4.8,52.0,86.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13060,2320-2709,5.0,52.0,86.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13061,2320-2711,5.8,57.0,93.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13062,2320-2712,6.0,57.0,93.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13063,2320-2713,6.8,69.0,107.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13064,2320-2714,7.0,69.0,107.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13065,2320-2715,7.8,75.0,117.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13066,2320-2716,8.0,75.0,117.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13067,2320-2717,8.8,81.0,125.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13068,2320-2718,9.0,81.0,125.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13069,2320-2719,9.8,87.0,133.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13070,2320-2721,10.0,87.0,133.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13071,2320-2722,10.75,94.0,142.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13072,2320-2723,11.0,94.0,142.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13073,2320-2724,11.75,94.0,142.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13074,2320-2725,12.0,101.0,151.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13075,2320-2726,12.75,101.0,151.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13076,2320-2727,13.0,101.0,151.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13077,2320-2728,13.75,108.0,160.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13078,2320-2729,14.0,108.0,160.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13079,2320-2731,14.75,114.0,169.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13080,2320-2732,15.0,114.0,169.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13081,2320-2733,15.75,120.0,178.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13082,2320-2734,16.0,120.0,178.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
13083,2320-2735,16.75,125.0,184.0,4.0,,,90.0,Тип 3,Зенкер,ГОСТ 12489-71,"h8, u8",,Для сквозных отверстий
